;SMILES;cut1;cut2;correction;visible
0;*C1=O--[H]OC1*;[[5, 1]];[[5, 4]];0.0;True
1;*C1=O--[H]Oc2ccccc21;[[10, 1]];[[5, 4]];-4.36;True
2;*C1O[H]--[O]N([O])C1~*;[[1, 7]];[[1, 2]];0.0;False
3;*O1--[H]OCCO1;[[5, 6]];[[5, 4]];-1.8;True
4;*OO1--[H]OC*cc1;[[5, 4]];[[8, 2]];0.0;True
5;C=C(C)O[H]--O=C(C)*;[[1, 3]];[[7, 6]];0.0;True
6;C=C1CO(--[H]O1)OC;[[1, 2]];[[1, 5]];0.0;True
7;CC1=O--[H]OC1=O;[[5, 4]];[[5, 1]];0.0;True
8;CC1C(=O)O[H]--[O]N1[O];[[1, 7]];[[2, 4]];0.0;True
9;CC1CO(--[H]O1)N([O])[O];[[1, 2]];[[1, 5]];0.0;True
10;CC1OO[H]--O=C(C)OO[H]--O=1;[[7, 6]];[[1, 2]];0.0;True
11;CC1OO[H]--O=C(C)OO[H]--O=1;[[7, 6]];[[0, 1]];0.0;True
12;CC1OO[H]--O=C(C)OO[H]--O=1;[[0, 1]];[[6, 8]];0.0;True
13;CCO(--[H]OC)N([O])[O];[[0, 1]];[[5, 4]];0.0;True
14;CCON([O])[O]--N([O])([O])OCC;[[11, 10]];[[0, 1]];0.0;False
15;CO1--[H]OC=CC1;[[4, 3]];[[6, 1]];0.0;True
16;CO1--[H]OCC1;[[5, 1]];[[4, 3]];0.0;True
17;CO1--[H]OCC=CC1;[[4, 3]];[[7, 1]];0.0;True
18;CO1--[H]OCCC1;[[6, 1]];[[4, 3]];0.0;True
19;CO1--[H]OOCAC1;[[5, 4]];[[7, 1]];0.0;True
20;CO1--[H]OOCC1;[[6, 1]];[[5, 4]];0.0;True
21;CO1--[H]Oc2ccccc21;[[4, 3]];[[9, 1]];0.0;False
22;CO1CCCON--1([O])[O];[[2, 1]];[[4, 5]];0.0;True
23;CO1CCON--1([O])[O];[[2, 1]];[[2, 3]];0.0;True
24;COO[H]--O(C)N([O])[O];[[5, 4]];[[0, 1]];0.0;False
25;COO[H]--O=C(C)OC;[[0, 1]];[[8, 7]];0.0;True
26;CXOO[H]--O=C(CX)O[H];[[6, 5]];[[0, 1]];0.0;True
27;XCON([O])[O]--N([O])([O])OCX;[[12, 11]];[[1, 4]];0.0;True
28;XCON([O])[O]--[H]OCX;[[0, 1]];[[7, 6]];0.0;True
29;XCON([O])[O]--[H]OOCX;[[0, 1]];[[8, 7]];0.0;True
30;XCOO[H]--O([H])OCX;[[0, 1]];[[7, 6]];0.0;True
31;XCOO[H]--O=C(CX)CX;[[0, 1]];[[6, 5]];0.0;True
32;XCOO[H]--[O]N(CX)[O];[[0, 1]];[[6, 5]];0.0;True
33;XCO[H]--O(CX)CX;[[7, 6]];[[1, 3]];0.0;True
34;XCO[H]--O=C(CX)CX;[[0, 1]];[[4, 3]];0.0;True
35;XCO[H]--O=C(CX)O*;[[0, 1]];[[5, 4]];0.0;True
36;XCO[H]--O=C([H])CX;[[0, 1]];[[6, 4]];0.0;True
37;XCO[H]--O=COC;[[6, 5]];[[0, 1]];0.0;True
38;[H]1OCC=CC=O--1;[[2, 3]];[[2, 1]];-2.66;True
39;[H]1OOC=O--1;[[2, 3]];[[2, 1]];0.0;False
40;[H]1OOCC=O--1;[[3, 4]];[[3, 2]];0.0;True
41;[H]1OOCCC=O--1;[[3, 2]];[[3, 4]];0.0;True
42;[H]C(CX)=O--[H]OOCX;[[7, 6]];[[2, 1]];0.0;True
43;[H]C1CCO[H]--O=1;[[2, 3]];[[2, 1]];0.0;True
44;[H]C1O[H]--O([H])C=1*;[[6, 4]];[[1, 2]];0.0;False
45;[H]O(--[H]OC(C)=O)CX;[[7, 1]];[[5, 4]];0.0;True
46;[H]O(--[H]OCX)OCX;[[6, 5]];[[4, 3]];0.0;True
47;[H]O(--[H]OOCX)C(*)=C;[[5, 4]];[[9, 1]];0.0;True
48;[H]O(C)--N([O])([O])OCC;[[8, 7]];[[2, 1]];0.0;False
49;[H]O(CX)--[H]OCX;[[2, 1]];[[5, 4]];0.0;True
50;[H]O(CX)--[H]OOCX;[[6, 5]];[[2, 1]];0.0;True
51;[H]O(c(c)c)--N([O])([O])C(=C)C;[[8, 5]];[[2, 1]];0.0;True
52;[H]O(c(c)c)--[H]OCX;[[7, 6]];[[2, 1]];0.0;True
53;[H]O1--[H]OC(*)O1;[[4, 6]];[[4, 3]];0.0;True
54;[H]O1--[H]OC(C)**C1C;[[8, 1]];[[4, 3]];0.0;True
55;[H]O1--[H]OC*c2ccccc21;[[4, 3]];[[11, 1]];0.0;True
56;[H]O1--[H]OC=CC1;[[4, 3]];[[6, 1]];-3.29;False
57;[H]O1--[H]OC=CC1C;[[6, 1]];[[6, 5]];0.0;True
58;[H]O1--[H]OCC1;[[5, 1]];[[4, 3]];-1.2;True
59;[H]O1--[H]OCC=C1;[[4, 3]];[[4, 5]];0.0;True
60;[H]O1--[H]OCCC1;[[4, 3]];[[6, 1]];0.0;True
61;[H]O1--[H]OCCCO1;[[6, 7]];[[5, 4]];0.0;True
62;[H]O1--[H]OOC(*)CC1*;[[5, 4]];[[8, 1]];0.0;True
63;[H]O1--[H]OOCC1;[[6, 1]];[[5, 4]];0.0;True
64;[H]O1--[H]OOCCOC1;[[8, 1]];[[5, 4]];0.0;True
65;[H]O1--[H]Occ*C1;[[7, 1]];[[4, 3]];0.0;True
66;[H]OC(C)=O--[H]OC(C)=O;[[7, 6]];[[3, 2]];0.0;False
67;[H]OC(C)=O--[H]OOc(c)c;[[8, 7]];[[3, 2]];0.0;True
68;[H]OC(CX)=O--[H]OC(CX)=O;[[3, 2]];[[8, 7]];0.0;True
69;[H]OC1=O--[H]OC(*)C1*;[[8, 2]];[[6, 5]];0.0;True
70;[H]OO(C)--N([O])([O])OC;[[8, 7]];[[3, 2]];0.0;True
71;[H]OO(CX)--[H]OCX;[[3, 2]];[[6, 5]];0.0;True
72;[H]OO1--[H]OC(*)C1*;[[5, 7]];[[5, 4]];0.0;True
73;[H]OO1--[H]OOCC1;[[6, 5]];[[7, 2]];0.0;False
74;[O]N1([O])CC=O--1;[[3, 1]];[[3, 4]];0.0;False
75;[O]N1CC(=O)O[H]--[O]1;[[3, 5]];[[3, 2]];0.0;True
76;[O]N1CC=CO[H]--[O]1;[[4, 5]];[[2, 1]];0.0;True
77;[O]N1OCCCON([O])([O])--[O]1;[[3, 2]];[[5, 6]];-1.4;True
78;[O]N1OCCCO[H]--[O]1;[[5, 6]];[[3, 2]];0.0;True
79;[O]N1OCCO2CCCO[H]--2--[O]1;[[6, 5]];[[8, 9]];0.0;True
80;[O]N1OCCO2CCCO[H]--2--[O]1;[[4, 3]];[[4, 5]];0.0;False
81;[O]N1OCCO2CCCO[H]--2--[O]1;[[4, 3]];[[6, 7]];0.0;False
82;[O]N1OCCON([O])([O])--[O]1;[[3, 4]];[[3, 2]];0.0;True
83;[O]N1OCCOO[H]--[O]1;[[3, 2]];[[4, 5]];-1.5;True
84;[O]N1[O]--[H]OOc2ccccc21;[[6, 5]];[[11, 1]];-4.84;True
85;[O]N1[O]--[H]Oc2ccccc21;[[5, 4]];[[10, 1]];-5.8;True
86;cC(=O)O[H]--[O]N([O])c1ccccc1;[[8, 6]];[[0, 1]];0.0;True
87;cC(=O)O[H]--[O]N(c)[O];[[1, 3]];[[7, 6]];0.0;False
88;cC(=O)O[H]--[O]N(c)[O];[[7, 6]];[[0, 1]];0.0;True
89;cC1OC(C)O[H]--O=1;[[3, 2]];[[3, 5]];0.0;True
90;[H]1OCCC=O--1;[[2, 3]];[[2, 1]];0.0;True
91;[H]1OCCCCC=O--1;[[5, 6]];[[2, 1]];-2.5;True
92;[H]O1OccN--1([O])[O];[[3, 2]];[[4, 5]];0.0;True
